id,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,1921,0.8868960000000005,0.4185973333333336,260537.16666666663,0.23181513333333334,0.34487805886666656,0.20571,-17.04866667,0.073662,101.53149333333329,0.37932666666666665,0.6533333333333333,2
2,1922,0.9385915492957748,0.4820422535211267,165469.74647887325,0.23781535211267596,0.4341948697183099,0.2407197183098592,-19.27528169,0.1166549295774648,100.88452112676056,0.5355492957746479,0.14084507042253522,10
3,1923,0.9572467913513516,0.5773405405405401,177942.36216216214,0.2624064864864865,0.37173272502702703,0.2274621621621621,-14.12921081,0.093948649,114.0107297297297,0.6254924324324328,5.389189189189189,0
4,1924,0.94019986,0.5498940677966102,191046.70762711862,0.3443466101694912,0.5817009136440677,0.2352190677966101,-14.23134322,0.092089407,120.68957203389822,0.6637254237288139,0.6610169491525424,10
5,1925,0.9626070503597138,0.5738633093525181,184986.92446043165,0.2785935251798561,0.4182973612230215,0.2376679856115108,-14.14641367,0.11191798561151084,115.5219208633093,0.6219287769784171,2.6043165467625897,5
6,1926,0.660817217,0.5998802612481859,156881.65747460088,0.2114670907111756,0.3330931111175616,0.2323695936139332,-18.49253846,0.4837036284470243,109.64803265602328,0.4369104571843251,1.4223512336719883,9
7,1927,0.9361794552845558,0.6482682926829262,184993.59837398372,0.2643213008130081,0.3913284986504065,0.16845024390243893,-14.42237398,0.11360959349593502,114.84652357723554,0.6597004878048782,0.8016260162601626,7
8,1928,0.9386165035685952,0.5342878667724027,214827.90642347344,0.20794779540047573,0.4948354801348136,0.17528937351308488,-17.19198255,0.15991149881046796,106.77226169706593,0.4957126883425853,1.5257731958762886,1
9,1929,0.6014265861344558,0.6476698529411761,168999.41281512607,0.2418007352941172,0.21520403106092464,0.2360002100840333,-16.53037605,0.4900007352941176,110.94835714285715,0.6365298319327733,0.3403361344537815,7
10,1930,0.936714937,0.5181758835758836,195150.28534303536,0.3335239189189189,0.35220592816528057,0.22131086278586296,-12.86922141,0.11990966735966745,109.87119438669428,0.6162376299376306,0.9267151767151768,2
11,1931,0.8330399585921336,0.5952217391304357,171553.42546583852,0.2344967732919257,0.22141964161490724,0.22742795031055896,-16.5160942,0.4536189440993791,109.02528157349907,0.5131170807453418,0.17080745341614906,0
