id,user_id,song_id,listening_count
1,baefc413-5ca5-40d4-b85e-000e2e80a003,0h083GWZ2W5scJM6JgwETQ,3
2,4da237ee-f206-4a74-866b-04c3c19ecef0,3QWlqqpc4EOm52xipzSehQ,3
3,9f10a3cb-6cd2-4d0a-8318-8f7eba13ec05,174BJkBMuLak3wSvYHASpo,9
4,b71a3b34-0f5f-4018-af95-95ccdb1a1bf9,0LCgPftb1BoxaAmKe8RwY8,1
5,5a5631d5-fdd6-461c-9f06-72de9fb76062,2WinyCfKidqagBGRVPtsTR,27
6,6de1465f-a84f-41fe-8777-b3cd74eb2bc8,7cUOoD1AQUpMw93PhPD9D7,77
7,bec9fc99-54a9-491e-80f1-c7c0af950fd3,2kN05N1AQQplsgFweFAqYb,4
8,e586c657-69df-436b-86fb-2e946929b61e,0AiiacTG7zhhUjDsLekDzt,5
9,ab978b3f-dba2-4299-aa92-a2c7dbc940c6,0HXsdE4vjpwKPUOuaHofgE,10
10,7747c061-ca9f-48ca-954f-843c8d5f4374,1AxcADdFgRgIGw0BaLfs4L,67
11,891482a6-7902-4918-a5a6-6fb99c28bcf1,1JUiLgTzZBJj5JXXvgnYn1,10
12,401fdc90-8362-4be4-ae51-1cb0a563bba9,1qcttgINwlwXzrbyTBlUxa,5
13,1a7e6a9d-4c13-4be4-97a5-018d7f8d78cf,3e9dlCDa68YOOJ5kFSiEdp,4
14,2fe8b63d-4827-4ecd-b7ac-03eb17cafb0d,69iOqTNYxtMai33eDhwbzl,1
15,f2bc501f-e917-42ab-a7b0-c8526a94ae5f,42ka70TPo1AMUBsnO14XQp,255
16,6750a042-d943-4190-88dd-baa61bc42f69,6L6U3Kj80wV1uY6zXd9TjS,299
17,1da90ac3-c7a5-488e-8f22-c268c395383a,3CUukIT0JY1Zc4Ug7Tg0D9,50
18,471441fa-802e-40e8-8422-90f5c9057753,6bJJZt7goGbiTChohY5D6z,443
19,198848bd-c383-4f83-b0a0-c473f1cd2e94,5kNnINqsYOjV2ROreqRUa9,9
20,7f5ce7d2-7d74-49e9-bcbd-9655efe19444,4p5RiUTn5fcn05ACSWgZAg,3
21,827c9179-7558-4ee4-9191-9c05a45eb8a8,5ApxZEQ1u6BhPrqeolLi6K,7
22,42d345ba-7fe1-417d-b986-cba637aed16c,5l6xr4PINeDNGemLJp3gLu,171
23,fa8a708e-4a6c-488b-b4da-546620e6b2fb,1H9hI2b5lAbRvGldst3dBN,418
24,14109be2-370c-485d-b0ce-0957ec560bc4,2XyIHlr4uvCFUUKdB0o9pE,7
25,56fa0d0c-51e8-4462-a47a-708913f5438c,5atLxMPgGeb8yJ5VRSrhtA,326
26,e4857c54-5a24-4ac8-96bd-0746af6fc63b,4Cn3jeDKxrpxJwRjbc5GFB,8
27,30fb125c-89cd-4381-8f91-d6c44677b790,3nK79pq1gR8xYh1F63OLlY,4
28,c154ae92-772a-4fb9-a454-e20371e0a312,6VqC5gNL532RfgdlGzNAv0,295
29,a9ad2701-2a1a-4e32-93f7-be128240fb1f,1dP2CDIpuuRxJxiZyzD4is,87
30,ef1678fd-0230-4bcd-ae5d-e18a68470c7a,1tTxt6RtTqvuSEe4gFhWO2,9
31,4e8e2255-8fee-45ef-bbe8-e3c798c92e75,7AAR1uYiqJ3z7aDi8KboqK,48
32,10279c20-6d4a-4f89-982f-efdca436b674,50FKz3cTTOFIn1VSka6VXD,4
